Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ARTC2	rat synonym	MGI:107545	Art2b	ADP-ribosyltransferase 2b	protein coding gene
Allergin-1	synonym	MGI:2685731	Milr1	mast cell immunoglobulin like receptor 1	protein coding gene
B7-H4	synonym	MGI:3039619	Vtcn1	V-set domain containing T cell activation inhibitor 1	protein coding gene
Blimp-1	synonym	MGI:99655	Prdm1	PR domain containing 1, with ZNF domain	protein coding gene
CCL5	current symbol	MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	protein coding gene
CD100	synonym	MGI:109244	Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein coding gene
CD102	synonym	MGI:96394	Icam2	intercellular adhesion molecule 2	protein coding gene
CD103	synonym	MGI:1298377	Itgae	integrin alpha E, epithelial-associated	protein coding gene
CD104	synonym	MGI:96613	Itgb4	integrin beta 4	protein coding gene
CD105	synonym	MGI:95392	Eng	endoglin	protein coding gene
CD106	synonym	MGI:98926	Vcam1	vascular cell adhesion molecule 1	protein coding gene
CD107a	synonym	MGI:96745	Lamp1	lysosomal-associated membrane protein 1	protein coding gene
CD115	synonym	MGI:1339758	Csf1r	colony stimulating factor 1 receptor	protein coding gene
CD117	synonym	MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	protein coding gene
CD119	synonym	MGI:107655	Ifngr1	interferon gamma receptor 1	protein coding gene
CD11a	old symbol	MGI:96606	Itgal	integrin alpha L	protein coding gene
CD11b	synonym	MGI:96607	Itgam	integrin alpha M	protein coding gene
CD11c	synonym	MGI:96609	Itgax	integrin alpha X	protein coding gene
CD120a	synonym	MGI:1314884	Tnfrsf1a	tumor necrosis factor receptor superfamily, member 1a	protein coding gene
CD120b	synonym	MGI:1314883	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b	protein coding gene
CD121a	synonym	MGI:96545	Il1r1	interleukin 1 receptor, type I	protein coding gene
CD122	synonym	MGI:96550	Il2rb	interleukin 2 receptor, beta chain	protein coding gene
CD123	synonym	MGI:96553	Il3ra	interleukin 3 receptor, alpha chain	protein coding gene
CD124	synonym	MGI:105367	Il4ra	interleukin 4 receptor, alpha	protein coding gene
CD125	synonym	MGI:96558	Il5ra	interleukin 5 receptor, alpha	protein coding gene
CD126	synonym	MGI:105304	Il6ra	interleukin 6 receptor, alpha	protein coding gene
CD127	synonym	MGI:96562	Il7r	interleukin 7 receptor	protein coding gene
CD130	synonym	MGI:96560	Il6st	interleukin 6 signal transducer	protein coding gene
CD132	synonym	MGI:96551	Il2rg	interleukin 2 receptor, gamma chain	protein coding gene
CD133	synonym	MGI:1100886	Prom1	prominin 1	protein coding gene
CD134	synonym	MGI:104512	Tnfrsf4	tumor necrosis factor receptor superfamily, member 4	protein coding gene
CD135	synonym	MGI:95559	Flt3	FMS-like tyrosine kinase 3	protein coding gene
CD137	old symbol	MGI:1101059	Tnfrsf9	tumor necrosis factor receptor superfamily, member 9	protein coding gene
CD138	synonym	MGI:1349162	Sdc1	syndecan 1	protein coding gene
CD14	current symbol	MGI:88318	Cd14	CD14 antigen	protein coding gene
CD140a	synonym	MGI:97530	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	protein coding gene
CD140b	synonym	MGI:97531	Pdgfrb	platelet derived growth factor receptor, beta polypeptide	protein coding gene
CD144	synonym	MGI:105057	Cdh5	cadherin 5	protein coding gene
CD146	synonym	MGI:1933966	Mcam	melanoma cell adhesion molecule	protein coding gene
CD147	synonym	MGI:88208	Bsg	basigin	protein coding gene
CD150	synonym	MGI:1351314	Slamf1	signaling lymphocytic activation molecule family member 1	protein coding gene
CD152	old symbol	MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	protein coding gene
CD153	synonym	MGI:88328	Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8	protein coding gene
CD154	synonym	MGI:88337	Cd40lg	CD40 ligand	protein coding gene
CD155	synonym	MGI:107741	Pvr	poliovirus receptor	protein coding gene
CD157	synonym	MGI:105370	Bst1	bone marrow stromal cell antigen 1	protein coding gene
