 	Lysis Plate Batch	dNTP.batch	oligodT.order.no	plate.type	preparation.site	date.prepared	date.sorted	tissue	subtissue	mouse.id	FACS.selection	nozzle.size	FACS.instument	Experiment ID 	Columns sorted	Double check	Plate	Location 	Comments
MAA000002	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Spleen	NA	24_1_M	PI -	100	Sony Clark	exp1			1	MACA2_8	
MAA000003	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Spleen	NA	24_1_M	PI -	100	Sony Clark	exp1			2	MACA2_9	
MAA000004	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Spleen	NA	24_1_M	PI -	100	Sony Clark	exp1			3	MACA2_8	
MAA000005	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Kidney	NA	24_1_M	PI -	100	Sony Clark	exp1					
MAA000006	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Spleen	NA		PI -	100	Sony Clark	exp1			4	MACA2_8	
MAA000007	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Kidney	NA	24_1_M	PI -	100	Sony Clark	exp1			3	MACA2_8	
MAA000008	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Kidney	NA	24_1_M	PI -	100	Sony Clark	exp1			4	MACA2_8	
MAA000009	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Kidney	NA	24_1_M	PI -	100	Sony Clark	exp1			2	MACA2_9	
MAA000010	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Colon	Proximal	24_1_M	CD66low or CD66high or CD44+	100	Sony Clark	exp1					
MAA000011	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Colon	Proximal	24_1_M	CD66low or CD66high or CD44+	100	Sony Clark	exp1			2	MACA2_9	
MAA000012	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Colon	Distal	24_1_M	CD66low or CD66high or CD44+	100	Sony Clark	exp1			3	MACA2_9	
MAA000013	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Muscle	NA	24_1_M	Multiple	100	Sony Clark	exp1			1	MACA2_8	
MAA000014	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Pancreas	NA	24_1_M	Viability (APC-)	100	Sony Clark	exp1					
MAA000015	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Muscle	NA	24_1_M	Multiple	100	Sony Clark	exp1			2	MACA2_9	
MAA000016	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Muscle	NA	24_1_M	Multiple	100	Sony Clark	exp1			3	MACA2_8	
MAA000017	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Muscle	NA	24_1_M	Multiple	100	Sony Clark	exp1			4	MACA2_8	
MAA000018	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170517	Marrow	KLS (old gates)	24_1_M	Various	100	Sony Clark	exp1		XX	1	MACA2_9	
MAA000019	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170525	Lung		30_4_M	Multiple	100	Aria, Beckman	exp5			4	MACA2_11	
MAA000020	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170525	Lung		30_4_M	Multiple	100	Aria, Beckman	exp5				MACA2_11	
MAA000021	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Muscle		30_1_M	Multiple	70	Aria3, VA	exp2				MACA4_5	
MAA000022	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170524	Muscle		30_3_M	Multiple	70	Aria3, VA	exp4				MACA4_5	
MAA000023	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170524	Muscle		30_3_M	Multiple	70	Aria3, VA	exp4			2	MACA2_14	
MAA000024	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514										XX	where did this go? is it confused with MAA000038?		
MAA000025	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170524	Muscle		30_3_M	Multiple	70	Aria3, VA	exp4			3	MACA2_14	
MAA000026	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170524	Muscle		30_3_M	Multiple	70	Aria3, VA	exp4			4	MACA3_9	
MAA000027	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170523	Muscle		30_2_M	Multiple	70	Aria3, VA	exp3					
MAA000028	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170523	Muscle		30_2_M	Multiple	70	Aria3, VA	exp3				MACA3_14	
MAA000029	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170523	Muscle		30_2_M	Multiple	70	Aria3, VA	exp3				MACA3_14	
MAA000030	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170523	Muscle		30_2_M	Multiple	70	Aria3, VA	exp3				MACA3_14	
MAA000031	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Spleen	NA	30_1_M	PI -	100	Sony Clark	exp2				MACA3_1	
MAA000032	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Spleen	NA	30_1_M	PI -	100	Sony Clark	exp2			2	MACA2_13	
MAA000033	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Spleen	NA	30_1_M	PI -	100	Sony Clark	exp2			3	MACA2_13	
MAA000034	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Spleen	NA	30_1_M	PI -	100	Sony Clark	exp2			4	MACA2_13	
MAA000035	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Kidney	NA	30_1_M	PI -	100	Sony Clark	exp2			1	MACA2_13	
MAA000036	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Kidney	NA	30_1_M	PI -	100	Sony Clark	exp2			2	MACA2_13	
MAA000037	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Kidney	NA	30_1_M	PI -	100	Sony Clark	exp2			3	MACA2_13	
MAA000038	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Muscle	NA	30_1_M	Multiple	100	Aria3, VA	exp2		XX	2	MACA3_9	Verified Muscle
MAA000038 #2??	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Kidney	NA	30_1_M	PI -	100	Sony Clark	exp2		XX	conflict with muscle!! is either of them MAA000024?		
MAA000039	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Muscle	NA	30_1_M	Multiple	70	Aria3, VA	exp2			1	MACA3_9	
MAA000040	NA	490668	12236139	Biorad HSP3801 384	STN_biohub	170514	170522	Muscle	NA	30_1_M	Multiple	70	Aria3, VA	exp2				MACA4_5	
MAA000041	NA	402480/444231	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	GAT	30_2_M	Multiple	100	VA	exp3				MACA3_14	
MAA000042	NA	402480/444232	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	BAT	30_2_M	Multiple	100	VA	exp3				MACA3_14	
MAA000043	NA	402480/444233	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	GAT	30_2_M	Multiple	100	VA	exp3				MACA3_14	
MAA000044	NA	402480/444234	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	SCAT	30_2_M	Multiple	100	VA	exp3				MACA3_11	
MAA000045	NA	402480/444235	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	BAT	30_2_M	Multiple	100	VA	exp3				MACA3_14	
MAA000046	NA	402480/444236	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	SCAT	30_2_M	Multiple	100	VA	exp3				MACA3_14	
MAA000047	NA	402480/444237	12427002	Biorad HSP3841	Biohub	170515													
MAA000048	NA	402480/444238	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Cerebellum	30_1_M	Neurons	130	SIM1	exp2				MACA4_4	
MAA000049	NA	402480/444239	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Cerebellum	30_1_M	Multiple	100	SIM1	exp2				MACA2_12	
MAA000050	NA	402480/444240	12427002	Biorad HSP3841	Biohub	170515												MACA4_4	
MAA000051	NA	402480/444241	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	MAT	30_2_M	Multiple	100	VA	exp2				MACA3_14	
MAA000052	NA	402480/444242	12427002	Biorad HSP3841	Biohub	170515													
MAA000053	NA	402480/444243	12427002	Biorad HSP3841	Biohub	170515	170523	Fat	MAT	30_2_M	Multiple	100	VA	exp2				MACA3_14	
MAA000054	NA	402480/444244	12427002	Biorad HSP3841	Biohub	170515	170522	Fat	GAT	30_1_M	Multiple	100	SIM1	exp2				MACA4_4	
