GeneId	GeneName	GOIds	GoNames	Type
MGI:MGI:2670981	Kcnv2	GO:0055085|GO:0071805|GO:0008076|GO:0051260|GO:0005244|GO:0005267|GO:0006810|GO:0005886|GO:0006813|GO:0005216|GO:0005249|GO:0006811|GO:0016020|GO:0016021|GO:0034765	transmembrane transport|potassium ion transmembrane transport|voltage-gated potassium channel complex|protein homooligomerization|voltage-gated ion channel activity|potassium channel activity|transport|plasma membrane|potassium ion transport|ion channel activity|voltage-gated potassium channel activity|ion transport|membrane|integral component of membrane|regulation of ion transmembrane transport	KV11.1	protein
MGI:MGI:2673998	Arhgap33	GO:0019901|GO:0007165|GO:0007264|GO:0005096|GO:0015031|GO:0035091|GO:0043234|GO:0006810|GO:0005886|GO:0005515|GO:0005737|GO:0005938|GO:0016020|GO:0015629	protein kinase binding|signal transduction|small GTPase mediated signal transduction|GTPase activator activity|protein transport|phosphatidylinositol binding|protein complex|transport|plasma membrane|protein binding|cytoplasm|cell cortex|membrane|actin cytoskeleton	NOMA-GAP|Snx26|Tcgap	protein
MGI:MGI:1917614	Fndc5	GO:0005777|GO:0014850|GO:0005515|GO:0090336|GO:0016020|GO:0016021|GO:0005783|GO:0005576|GO:0005179|GO:0005886	peroxisome|response to muscle activity|protein binding|positive regulation of brown fat cell differentiation|membrane|integral component of membrane|endoplasmic reticulum|extracellular region|hormone activity|plasma membrane	1500001L03Rik|PeP|Pxp	protein
MGI:MGI:2681173	Grip2	GO:0014069|GO:0035254|GO:0008022|GO:0015031|GO:0005886|GO:0045777|GO:0030425|GO:0007219|GO:0005737|GO:0045211|GO:0043198|GO:0016020|GO:0014824	postsynaptic density|glutamate receptor binding|protein C-terminus binding|protein transport|plasma membrane|positive regulation of blood pressure|dendrite|Notch signaling pathway|cytoplasm|postsynaptic membrane|dendritic shaft|membrane|artery smooth muscle contraction		protein
MGI:MGI:1917607	Kcnip1	GO:0071805|GO:0008076|GO:0005244|GO:0043025|GO:1901379|GO:0005267|GO:0006810|GO:0042995|GO:0044325|GO:0005886|GO:0006813|GO:0030425|GO:0006811|GO:0034705|GO:0045760|GO:0005737|GO:0046872|GO:0046982|GO:0005509|GO:0016020|GO:0047485|GO:0034765|GO:0031234|GO:0015459	potassium ion transmembrane transport|voltage-gated potassium channel complex|voltage-gated ion channel activity|neuronal cell body|regulation of potassium ion transmembrane transport|potassium channel activity|transport|cell projection|ion channel binding|plasma membrane|potassium ion transport|dendrite|ion transport|potassium channel complex|positive regulation of action potential|cytoplasm|metal ion binding|protein heterodimerization activity|calcium ion binding|membrane|protein N-terminus binding|regulation of ion transmembrane transport|extrinsic component of cytoplasmic side of plasma membrane|potassium channel regulator activity	2900046L02Rik|3202002F18Rik|KCHIP1	protein
MGI:MGI:1917600	Basp1	GO:0019904|GO:0016607|GO:0044212|GO:0042995|GO:0005886|GO:0005634|GO:0005515|GO:0070062|GO:0045892|GO:0003714|GO:0005737|GO:0072112|GO:0016020|GO:0030054|GO:0031982|GO:0008180	protein domain specific binding|nuclear speck|transcription regulatory region DNA binding|cell projection|plasma membrane|nucleus|protein binding|extracellular exosome|negative regulation of transcription, DNA-templated|transcription corepressor activity|cytoplasm|glomerular visceral epithelial cell differentiation|membrane|cell junction|vesicle|COP9 signalosome	2610024P12Rik|CAP23|CAP-23|Ckap3	protein
MGI:MGI:2687054	Lypd4	GO:0008150|GO:0016020|GO:0005575|GO:0003674|GO:0005886|GO:0031225	biological_process|membrane|cellular_component|molecular_function|plasma membrane|anchored component of membrane	4933400F01Rik	protein
MGI:MGI:3030409	Olfr575	GO:0007186|GO:0007165|GO:0007608|GO:0016021|GO:0004984|GO:0005886	G-protein coupled receptor signaling pathway|signal transduction|sensory perception of smell|integral component of membrane|olfactory receptor activity|plasma membrane	GA_x6K02T2PBJ9-5666843-5665908|MOR8-1	protein
MGI:MGI:1932576	Akap12	GO:0090036|GO:0007165|GO:0030819|GO:0008179|GO:0005886|GO:0006605|GO:0010739|GO:0005856|GO:0005925|GO:0005737|GO:0016020|GO:0005829|GO:0030159|GO:0051018	regulation of protein kinase C signaling|signal transduction|positive regulation of cAMP biosynthetic process|adenylate cyclase binding|plasma membrane|protein targeting|positive regulation of protein kinase A signaling|cytoskeleton|focal adhesion|cytoplasm|membrane|cytosol|receptor signaling complex scaffold activity|protein kinase A binding	Srcs5|SSeCKS|Tsga12	protein
MGI:MGI:1889679	Slco1c1	GO:0015125|GO:0006810|GO:0008514|GO:0005215|GO:0005886|GO:0005887|GO:0006811|GO:0016020|GO:0043252|GO:0016021|GO:0015349|GO:0015711|GO:0015347|GO:0015721	bile acid transmembrane transporter activity|transport|organic anion transmembrane transporter activity|transporter activity|plasma membrane|integral component of plasma membrane|ion transport|membrane|sodium-independent organic anion transport|integral component of membrane|thyroid hormone transmembrane transporter activity|organic anion transport|sodium-independent organic anion transmembrane transporter activity|bile acid and bile salt transport	OATP-F|Slc21a14	protein
